ID,scenario,rxpackage,inc_fire,cpu,cumsum_carb,total_carbon_grow,total_carbon_max,cumsum_fire,biosum_cond_id,biosum_plot_id,fortypcd,acres,owngrpcd,lat,lon,elev,MEANING,CEC_type,TargetType
2137,10MM,010,with fire,48.280473632679374,1539940.6322431862,-1507.9507034176663,7246.864897638047,1539940.6322431862,1201706060701901e9,1201706060701901e8,933,7356.611958023019,10,37.362,-119.2,5900,Canyon live oak,Hardwood,0
1866,10MM,010,with fire,49.27291891629196,1543875.062925775,-850.6986528145306,3934.4306825888384,1543875.062925775,12013060603091007e8,12013060603091006e7,225,2203.5905865218847,10,39.624,-120,5700,Jeffrey pine,Pine,1
1269,10MM,700,with fire,49.27707113703193,1561234.715567631,2977.0504380932316,17359.652641856006,1561234.715567631,1201006051009301e9,12010060510093008e7,371,5730.615980848355,10,41.679,-121.6,5700,California mixed conifer,Mixed conifer,1
1603,10MM,010,with fire,49.445792184742864,1571413.830590531,-5476.723328356666,10179.115022899838,1571413.830590531,12010060510061009e8,1201006051006101e8,221,5698.217072580724,10,38.967,-120.6,4100,Ponderosa pine,Pine,1
1833,10MM,010,with fire,49.52268084746906,1577658.192669012,145.18884684785527,6244.362078480912,1577658.192669012,12013060603051005e8,12013060603051006e7,225,4951.8339006905335,10,37.591,-118.6,7300,Jeffrey pine,Pine,1
1304,10MM,030,with fire,49.67826719047609,1583886.482873513,-511.94461218929916,6228.290204501095,1583886.482873513,12012060602035006e8,12012060602035005e7,221,5730.615980848355,10,40.741,-121.1,6300,Ponderosa pine,Pine,1
131,10MM,700,with fire,49.963677059878826,1634128.1597394706,22728.2437630684,50241.67686595757,1634128.1597394706,12010060510089007e8,12010060510089007e7,371,2224.1019940919264,10,41.14,-122.1,2900,California mixed conifer,Mixed conifer,1
2175,10MM,040,with fire,50.62788966462272,1649179.0183776328,-2632.355833321279,15050.85863816235,1649179.0183776328,12017060607091006e8,12017060607091006e7,371,8540.110491413698,10,39.54,-120.9,4100,California mixed conifer,Mixed conifer,1
1782,10MM,700,with fire,50.915760989559125,1670867.3740013503,8995.027170577141,21688.355623717413,1670867.3740013503,12012060602091005e8,12012060602091005e7,241,7676.640438850287,10,39.648,-120.6,6700,Western white pine,Other conifer,0
1329,10MM,020,with fire,51.13346603720553,1675622.4898692102,-711.3254190550425,4755.115867860046,1675622.4898692102,12012060602093008e8,12012060602093007e7,371,3711.064861043902,10,41.492,-121.8,5300,California mixed conifer,Mixed conifer,1
