FID,Join_Count,TARGET_FID,biosum_con,ID,biosum_plo,lat,lon,Id_1,gridcode,prob
1446,1,1446,1.20131E+24,1447,1.20131E+23,37.37038,-119.540933,128241,7201,0.7201
1447,1,1447,1.20131E+24,1448,1.20131E+23,37.354624,-119.388952,128860,8783,0.8783
1448,1,1448,1.20131E+24,1449,1.20131E+23,38.147006,-122.638352,106754,5766,0.5766
1449,1,1449,1.20131E+24,1450,1.20131E+23,37.51428,-119.836374,124137,2675,0.2675
1450,1,1450,1.20131E+24,1451,1.20131E+23,37.479323,-119.967511,125007,4329,0.4329
1451,1,1451,1.20131E+24,1452,1.20131E+23,37.495403,-119.671569,124438,6267,0.6267
1452,1,1452,1.20131E+24,1453,1.20131E+23,39.383613,-123.09297,76656,4527,0.4527
1453,1,1453,1.20131E+24,1454,1.20131E+23,39.383613,-123.09297,76656,4527,0.4527
1454,1,1454,1.20131E+24,1455,1.20131E+23,39.027707,-123.665795,84517,2061,0.2061
1455,1,1455,1.20131E+24,1456,1.20131E+23,39.306731,-123.569384,78274,3356,0.3356
1456,1,1456,1.20131E+24,1457,1.20131E+23,39.814689,-123.804776,65348,2442,0.2442
1457,1,1457,1.20131E+24,1458,1.20131E+23,39.545257,-123.10913,72618,3997,0.3997
1458,1,1458,1.20131E+24,1459,1.20131E+23,39.174355,-123.687059,81341,3165,0.3165
1459,1,1459,1.20131E+24,1460,1.20131E+23,39.734722,-123.167905,67991,3963,0.3963
1460,1,1460,1.20131E+24,1461,1.20131E+23,39.488988,-123.27751,74013,3395,0.3395
1461,1,1461,1.20131E+24,1462,1.20131E+23,39.859569,-123.012412,64567,6739,0.6739
1462,1,1462,1.20131E+24,1463,1.20131E+23,39.209057,-123.409141,80654,4719,0.4719
1463,1,1463,1.20131E+24,1464,1.20131E+23,39.207485,-123.071959,80914,5752,0.5752
1464,1,1464,1.20131E+24,1465,1.20131E+23,41.455782,-121.34505,15842,1400,0.14
1465,1,1465,1.20131E+24,1466,1.20131E+23,41.301117,-121.349936,20485,1907,0.1907
1466,1,1466,1.20131E+24,1467,1.20131E+23,41.428062,-121.120704,16684,3362,0.3362
1467,1,1467,1.20131E+24,1468,1.20131E+23,41.896118,-120.296482,3646,2261,0.2261
1468,1,1468,1.20131E+24,1469,1.20131E+23,38.375707,-119.572554,102058,2079,0.2079
1469,1,1469,1.20131E+24,1470,1.20131E+23,37.591538,-118.621293,121655,1133,0.1133
1470,1,1470,1.20131E+24,1471,1.20131E+23,36.087954,-121.063364,168299,3787,0.3787
1471,1,1471,1.20131E+24,1472,1.20131E+23,36.56446,-121.838028,151908,4292,0.4292
1472,1,1472,1.20131E+24,1473,1.20131E+23,39.439191,-120.147912,76347,3362,0.3362
1473,1,1473,1.20131E+24,1474,1.20131E+23,39.244995,-120.912693,81033,1982,0.1982
1474,1,1474,1.20131E+24,1475,1.20131E+23,39.395112,-120.9357,77484,1179,0.1179
1475,1,1475,1.20131E+24,1476,1.20131E+23,38.949806,-120.563974,87588,2360,0.236
1476,1,1476,1.20131E+24,1477,1.20131E+23,39.106974,-120.60405,84082,5206,0.5206
1477,1,1477,1.20131E+24,1478,1.20131E+23,39.046414,-120.739605,85467,2992,0.2992
1478,1,1478,1.20131E+24,1479,1.20131E+23,39.024606,-120.909939,85861,7833,0.7833
1479,1,1479,1.20131E+24,1480,1.20131E+23,39.251555,-120.131744,81095,3721,0.3721
1480,0,1480,1.20131E+24,1481,1.20131E+23,39.100282,-120.42257,0,0,0
1481,1,1481,1.20131E+24,1482,1.20131E+23,39.678689,-121.123275,70351,1846,0.1846
1482,1,1482,1.20131E+24,1483,1.20131E+23,39.849911,-121.152946,66095,3614,0.3614
1483,1,1483,1.20131E+24,1484,1.20131E+23,40.050727,-121.015172,60134,8046,0.8046
1484,1,1484,1.20131E+24,1485,1.20131E+23,39.768696,-120.967742,68132,7041,0.7041
1485,1,1485,1.20131E+24,1486,1.20131E+23,40.324099,-121.245019,51798,1502,0.1502
1486,1,1486,1.20131E+24,1487,1.20131E+23,40.324099,-121.245019,51798,1502,0.1502
1487,1,1487,1.20131E+24,1488,1.20131E+23,39.976238,-120.944718,62460,5344,0.5344
1488,1,1488,1.20131E+24,1489,1.20131E+23,39.93856,-120.677878,63624,3946,0.3946
1489,1,1489,1.20131E+24,1490,1.20131E+23,40.198017,-121.335672,55639,5106,0.5106
1490,1,1490,1.20131E+24,1491,1.20131E+23,40.039791,-120.51505,60768,2798,0.2798
1491,1,1491,1.20131E+24,1492,1.20131E+23,40.025615,-120.860588,61034,4853,0.4853
1492,1,1492,1.20131E+24,1493,1.20131E+23,40.220892,-121.011976,55061,4839,0.4839
1493,1,1493,1.20131E+24,1494,1.20131E+23,40.220892,-121.011976,55061,4839,0.4839
1494,1,1494,1.20131E+24,1495,1.20131E+23,40.004669,-121.146625,61598,5937,0.5937
1495,0,1495,1.20131E+24,1496,1.20131E+23,39.887453,-120.509336,0,0,0
1496,1,1496,1.20131E+24,1497,1.20131E+23,40.084843,-120.371517,59280,1250,0.125
1497,1,1497,1.20131E+24,1498,1.20131E+23,39.742237,-120.636184,68921,4887,0.4887
1498,1,1498,1.20131E+24,1499,1.20131E+23,40.351017,-121.333906,50833,2981,0.2981
1499,1,1499,1.20131E+24,1500,1.20131E+23,39.890357,-120.969823,64989,6392,0.6392
1500,1,1500,1.20131E+24,1501,1.20131E+23,34.24066,-116.717263,239912,3047,0.3047
1501,1,1501,1.20131E+24,1502,1.20131E+23,34.25148,-117.00245,239893,4754,0.4754
1502,1,1502,1.20131E+24,1503,1.20131E+23,34.194357,-116.868987,242059,10267,1.0267
1503,1,1503,1.20131E+24,1504,1.20131E+23,35.604517,-121.013694,185969,6109,0.6109
1504,1,1504,1.20131E+24,1505,1.20131E+23,35.645426,-120.856583,184643,4777,0.4777
